customer_id,full_name,gender,age,segment,region,join_date
1,Thomas Barber,M,69,VIP,DN,2024-01-27
2,Julia Brown,F,38,Retail,DN,2024-06-16
3,David Hopkins,M,28,Retail,HN,2023-03-15
4,Julie Edwards,F,57,SME,HCM,2022-02-19
5,James Henderson,M,19,SME,HCM,2024-04-30
6,Amanda Allen,F,19,Retail,HN,2024-10-13
7,Christopher Cameron,M,29,Retail,HN,2023-02-01
8,Emily Keith,F,42,Retail,DN,2023-09-21
9,Larry Boyer,M,59,Retail,Other,2023-05-16
10,Jennifer Barnes,F,32,Retail,DN,2022-03-27
11,Crystal Clements,F,68,Retail,Other,2024-01-18
12,Kelly Coleman,F,20,SME,DN,2024-10-19
13,Justin White,M,26,Retail,Other,2021-02-10
14,Mark Perez,M,31,SME,HN,2021-01-13
15,Shannon Grimes,F,19,Retail,DN,2022-06-03
16,Laura Lewis,F,24,Retail,Other,2024-07-01
17,Brian Johnson,M,52,SME,Other,2022-03-03
18,Susan Meyer,F,57,SME,HCM,2022-11-01
19,Jaime Williams,F,59,Retail,HN,2022-05-03
20,Edward Olsen,M,35,SME,HCM,2023-10-20
21,Kari Mendez,F,53,Retail,Other,2024-05-07
22,Mark Guzman,M,25,Retail,Other,2022-03-23
23,Robert Cline II,M,57,SME,HN,2021-01-09
24,Nancy Logan,F,64,SME,HCM,2023-06-21
25,Charles Chavez,M,62,Retail,DN,2025-03-27
26,Vincent King DVM,M,18,Retail,HN,2023-05-06
27,Kelly Garcia,F,18,Retail,Other,2025-01-16
28,Kenneth Harvey,M,28,Retail,Other,2022-01-30
29,Brandon Garza,M,52,SME,HN,2023-07-16
30,Kendra Cunningham,F,56,Retail,Other,2024-12-09
31,Mr. Michael Hoffman,M,26,Retail,HCM,2023-10-14
32,Jeremy Weber,M,65,Retail,HCM,2022-03-08
33,Mary Clark,F,54,SME,Other,2025-08-16
34,Elizabeth Lowery,F,44,Retail,DN,2023-12-19
35,Danny Barrett,M,64,SME,HN,2024-03-02
36,Joseph Dixon,M,43,Retail,HCM,2022-03-28
37,Mark Drake,M,44,Retail,DN,2020-11-22
38,Taylor Mcclain,F,59,Retail,DN,2021-07-23
39,Ryan Mayer,M,49,Retail,Other,2021-11-18
40,Scott Singh,M,49,Retail,HN,2022-10-29
41,Kevin Key,M,56,Retail,DN,2023-01-13
42,Andrew Williams,M,53,SME,DN,2021-08-03
43,Jesus Lewis,M,68,Retail,HCM,2021-10-26
44,Dr. Christina Gonzalez,F,62,Retail,HN,2022-04-06
45,Faith Williams,F,45,SME,Other,2024-09-14
46,Allison Buchanan,F,47,SME,Other,2022-03-31
47,Angel Estrada,F,45,Retail,HCM,2022-04-03
48,Victor Moore,M,18,Retail,HCM,2022-08-31
49,Michael Diaz,M,69,Retail,DN,2023-06-18
50,Brian Cook,M,23,Retail,HN,2023-07-11
51,Alyssa Gilbert,F,54,Retail,HCM,2025-05-04
52,Yesenia Martinez,F,41,SME,HCM,2023-09-27
53,Denise Woodward,F,49,Retail,Other,2024-04-19
54,Isaac Noble,M,66,Retail,Other,2024-04-22
55,Melanie Gilbert,F,56,Retail,HN,2021-05-13
56,Joseph Sanchez,M,66,VIP,DN,2025-06-02
57,Timothy Garcia,M,19,Retail,HCM,2024-06-07
58,Dylan Hendricks,M,54,Retail,HN,2022-07-31
59,Brendan Thomas,M,19,Retail,HCM,2023-09-02
60,Melissa Anthony,F,23,Retail,Other,2024-11-03
61,Ryan Smith,M,28,Retail,HN,2025-05-09
62,Antonio Proctor,M,55,Retail,Other,2025-07-22
63,Jennifer Richardson,F,23,Retail,DN,2024-05-22
64,Melanie Cross,F,33,SME,Other,2025-02-10
65,Jeffrey Wheeler,M,23,Retail,DN,2021-08-06
66,Amy Franklin,F,53,Retail,DN,2023-10-09
67,Jason Page,M,36,Retail,DN,2024-01-06
68,Kelsey Myers,F,58,Retail,Other,2024-12-14
69,Neil Snyder,M,35,SME,DN,2023-06-30
70,Jasmine Miller,F,42,Retail,DN,2023-05-28
71,Lauren Meadows,F,59,Retail,Other,2023-08-07
72,Nicole Morgan,F,43,VIP,Other,2024-03-07
73,Tammy Shaffer,F,66,Retail,Other,2023-08-11
74,Christina Smith DVM,F,29,Retail,Other,2025-02-16
75,Steven Harrington,M,26,Retail,DN,2023-11-14
76,Karen Miller,F,33,SME,Other,2022-07-02
77,Felicia Anthony,F,50,Retail,DN,2021-07-21
78,Charles Barrett,M,25,SME,Other,2021-05-20
79,Tammy Owen,F,52,Retail,HN,2021-10-30
80,Benjamin Mckay,M,42,Retail,Other,2024-08-10
81,Erin Reyes,F,35,Retail,DN,2025-08-22
82,Veronica Krueger,F,58,Retail,Other,2024-05-04
83,Tony Meyer,M,31,Retail,Other,2024-08-28
84,Julie Taylor,F,25,SME,HN,2025-01-10
85,Leah Shepard,F,50,Retail,DN,2020-12-31
86,Eric Smith,M,39,Retail,HCM,2023-09-26
87,Amanda Martin,F,55,VIP,DN,2022-10-06
88,Paige Atkins,F,25,Retail,HCM,2023-03-27
89,Dr. John Doyle,M,47,Retail,DN,2021-01-16
90,Lisa Keller,F,50,Retail,HN,2023-03-09
91,Alexandria Church,F,36,Retail,Other,2022-11-24
92,Timothy Odonnell,M,34,VIP,HCM,2022-04-21
93,Joseph Sullivan,M,63,SME,DN,2025-06-29
94,Tara Brandt,F,58,VIP,HN,2022-02-14
95,Chad Sanchez,M,63,VIP,DN,2024-11-17
96,Shelly Gonzales,F,50,Retail,HN,2021-05-15
97,Steven Wilson,M,49,SME,Other,2021-08-20
98,Blake Gonzalez,M,35,Retail,DN,2024-08-09
99,Sarah White,F,20,Retail,Other,2024-09-18
100,Amy Jones,F,49,Retail,DN,2022-03-10
101,Kathleen Sanchez,F,44,Retail,HCM,2021-01-25
102,Andrew Davis,M,57,Retail,DN,2021-05-12
103,April Smith,F,65,Retail,HCM,2022-04-08
104,Brad Greene,M,43,SME,HN,2025-10-03
